Lens ID,Abstract_trim_2_string,cluster
070-541-958-070-965,internet challeng design refer resourc structur interfac facilit quick access bibliographi design bibliographi chronolog order public alphabet list titl head follow scheme relev chronolog order public alphabet list titl simplest bibliograph materi method usual fail themat relat among variou item systemat complic explor model elabor rational demonstr exemplari facet scheme ground solid scientif foundat clarifi scientif foundat phase structur methodolog util exemplari classificatori model seven facet scheme design classifi scholarli logotherapi particular scientif structur methodolog exampl structur bibliograph resourc social academ,Cluster 04
071-825-816-424-896,translat memori system new type human languag technolog tool gain popular among translat tool allow translat store previous translat text type align bilingu databas recycl relev text produc new translat current tool retriev databas use superfici charact string match often result poor precis recal explain translat memori system consid possibl introduc sophist retriev techniqu system take syntact semant similar account suggest techniqu inspir use area techniqu use,Cluster 00
072-364-355-191-82X,topic concern byzantin literatur gener byzantin text discuss analyz made clear time boundari period describ kind publish materi schedul pa supplement congress discuss evalu far handl byzantin literatur concern schedul pa mention relev categori result regard manner handl classic literatur text conclud earli christian literatur father church must exclud class pa order achiev uniform continu consist reliabl byzantin text must treat accord method propos classic literatur congress schedul pa,Cluster 07
074-500-461-363-345,bring togeth document collect merg resourc becom common problem integr content metadata creat domain use scheme describ multidisciplinari team attempt integr metadata structur sever collect environment system result qualit suggest though design divers background could conceptu articul potenti new merg system might reveal perceiv valu access vari disciplinari membership compromis forc merg collect creat barrier opportun creation new howev peopl varieti background abl contribut negoti metadata decis suggest key realm translat divers individu futur collabor environ consequ domain specif translat integr role discuss,Cluster 11
080-376-612-270-923,cismef catalogu site medicaux francai cree centr hospitali universitair rouen pour repondr necessit obtenir qualit internet domain medecin select descript ressourc internet constitu troi axe projet cismef appui structur mot medic head,Cluster 06
084-598-061-461-73X,describ propos new thesauru design construct could signific implic chang multilingu thesauri handl integr formula origin german thesauru committe input number scientist practition emphasi variou type relationship found among concept notion univers languag relationship analys refin beyond taken exist thesauri propos much discuss stage invit assist interest reader critic discuss dialogu applic propos thesauru major goal propos basi improv design integr multilingu thesauri,Cluster 08
088-963-079-143-906,hypothesi employ object achiev object concern order achiev object gener activ use propos solut respons queri formul main task solut relev person main axe personn system respons accord object propos use model personnail system respons model defin repres activ use record model analysi synthesi activ use relev solut accord object applic valid person system respons architectur defin cooper retriev applic metior streem metior loria metior revu metior streem manag multimedia tree reforest european union project sponsor project leonardo second applic metior loria use manag public comput laboratori research center loria nanci franc third applic metior revu use access analysi collect journal call relat publiqu,Cluster 07
101-786-473-793-24X,research come question theoret distinct about document innat content mean use document distinct relev beyond particularli relat homosexu concern literari critic particular frequent address question homosexu explor literari debat implic design access system gay lesbian commun examin literari critic herman melvil billi budd particularli relat theori eve kosofski sedgwick epistemolog closet 1990 expos tension design gay lesbian vocabulari expect face first tension essentialist constructivist view homosexu affect choic categori refer second tension minorit univers perspect homosexu third redefin distinct about mean about refer stabl document content system design inescap social ideolog perspect design access system therefor expect context intens scrutini persist controversi,Cluster 01
102-669-910-571-199,compar evalu mechan system continu constitut controversi topic literatur diametr opinion seemingli corrobor empir evid sinc time cranfield experi similar situat often encount histori reason exclus empiric scientif sever empir law formul exampl alledgedli invers precis recal relationship retriev assum direct relationship consist qualiti alledg equival automat intellectu empiric seen anoth variat positiv abandon natur sinc middl centuri evid inadequaci latent surviv even domin constitut sourc continu confus impedi progress liter anyth empir proof submit suitabl exampl select method chosen substanti advanc requir abandon empiric budd hermeneut phenomenolog seem constitut promis substitut 1995,Cluster 10
110-917-132-699-697,draw attent effort defin concept suggest schedul isol concept eight head concept theoret aspect learn theori psycholog aspect origin evolut format construct semant aspect terminolog usag disciplin specif applic concept isar system schedul aspect isol relat concept along name use schedul intend help identifi variou aspect concept help use aspect guid extent dissect see social concept variou view,Cluster 08
114-610-700-517-329,argu establish technic terminolog crucial disciplin terminolog neither settl wide use expon explan concept gener accept theorist particular elabor terminolog gener ranganathan examin definit numer concept characterist attribut genu speci relationship type class canon system special environment main class kind basic compound complex concept facet isol array chain comparison system specif dewey decim colon congress made,Cluster 11
115-098-299-620-069,key entiti univers record deliber creation known various opera oeuvr werk constitut individu set creat concept stand formal record retriev domain oppos document recent receiv focus attent definit entiti retriev examin taxonom definit definit built around taxonomi epistemolog perspect aid understand compon taxonom definit defin entiti retriev seen constitut set vari instanti abstract creation variant instanti must explicitli identifi futur system documentari retriev expand percept help understand varieti mechan control retriev might better shape futur,Cluster 04
115-384-194-385-151,look current trend research concentr univers system map vocabulari interoper concern problem internet search engin resourc discoveri thesauri visual problem face research time discuss accompani bibliographi recent,Cluster 05
129-443-446-272-731,gener concern bazerman book shape written genr activ experiment articl written produc academi bazerman discuss particular rhetor commun epistemolog issu written articl discuss theme perspect implic research sever reason argu scrutin written ought special interest research exampl particular research articl discuss relationship theori written bazerman analyz written literari view among thing argu theori seen literari theori question rais latter rais theori furthermor forward consid produc text document represent text actual meet first place produc document represent extent respons qualiti document discuss relationship written research gener theori particular conclud research ought head toward humanist orient research tradit line research bazerman consid use,Cluster 01
132-693-568-339-041,natur text phrase indetermin process inher lack represent predict hold true particular case gener concept syntact connect henc natur languag queri phrase search unend adventur trial error case unsatisfactori outcom respect recal precis ratio respons human document interpret aim among thing introduc predict represent document due indeterminaci natur languag text phrase imag construct adequ indetermin natur therefor inher defi satisfactori algorithm human suffer defici absent process interpret natur languag optim effect system combin type languag manner specif strength preserv weak avoid goal larg endur system mere known item search expenditur advanc languag care employ unavoid,Cluster 00
135-471-224-323-287,speech tagger use increas number terminolog applic howev terminologist know exactli perform special text sinc tagger train gener corpora corpora contain sort undifferenti text articl evalu perform tagger french english medic text tagger tnt statist tagger saarland univers brant 2000 winbril window version tagger initi eric brill 1992 extract medic text submit tagger output scan manual result pertain accuraci tag correctli incorrectli tag word handl unknown word viewpoint,Cluster 00
138-963-204-270-114,examin content descript fiction specif novel data empir gather finnish public aim find client profession public describ novel abstract characteris similar abstract taxonomi novel abstract given abstract classifi categori taxonomi plot themat abstract cultur histor abstract person abstract critic abstract final portion model search retriev system fiction,Cluster 05
145-930-999-684-144,aim explor chang role opportun twenti first centuri especi respect technolog issu aros european commun fund miracl project lb5670 repres foundat virtual music serv visual impair peopl miracl partner chose univers decim udc common converg music catalogu investig natur adapt requir particip use search tool use technolog assist propos,Cluster 04
154-969-566-820-758,articl deal meaning process relat system process coordin post coordin discuss emphasi control vocabulari retriev assign employ control vocabulari describ detail type languag divid broad group use coordin depend post coordin repres basic process retriev histor describ tool appli thesauri head,Cluster 07
180-963-788-596-582,function requir bibliograph record specif fonctionnel notic bibliographiqu commiss publish 1998 defin core function catalogu bibliograph record gateway purpos abstract entiti relationship model catalogu propos model revolutionari comput catalogu seen sequenc bibliograph record replica tradit card catalogu rather network connect entiti enabl perform seamlessli necessari function far theoret discuss model limit experi lack research implement theoret model practic new gener catalogu reaction model analys main focu consequ model opac interfac design particularli search function display result,Cluster 11
182-499-359-463-219,physic organis item shelv use scheme inevit compromis best effort achiev arrang char help thwart multifacet natur item specif item particular scatter throughout build across disciplin physic form frequenc use whether long borrow even though rich content multifacet item repres notat item requir scatter across shelv item place singl rel locat explor issu use exampl univers classifi use decim scheme electron context opac transcend constraint impos predominantli physic natur collect current use scheme line system retain mani limit exampl system appli world wide web discuss compar system seek use call view search interfac result brows search capabl view onlin public access catalogu opac describ access collect improv disciplinari scatter resolv assign multipl class number item exploit rich dewey structur facet form discuss suggest power visual classificatori structur search interfac benefici broader learn experi conclud applic scheme electron interfac bound physic constraint longer appli electron context exploit complet flexibl individu interfac determin,Cluster 05
188-130-097-599-287,lattic model retriev suggest 1960 seen theoret possibl hard practic appli ever sinc attempt reviv lattic model demonstr applic retriev system fair incorpor graphic represent facet thesauru show boolean queri lattic theoret relat concept thesauru visual thesauru display advantag fair allow high level transpar system control,Cluster 00
191-349-254-093-883,main object retriev system relev respons queri relev respons concern exact compar queri concern correspond level prefer major contribut area person system respons take consider specif propos use explicit model system solut determin activ record document method adopt retriev combin queri criteria analysi propos architectur cooper retriev architectur allow share experi process retriev interpret system result distant machin propos implement system streem metior streem manag tree metior manag bibliograph refer,Cluster 00
193-381-516-111-686,scientif technolog watch task expert survey evolut research topic area special order detect interest chang major method propos evalu metric bibliometr scientometr reli sole statist data analysi method citat analysi word analysi method usual structur databas unit analysi word keyword alreadi attribut document human advent huge amount unstructur textual data render necessari integr natur languag process nlp techniqu first extract meaning unit text propos method nlp orient method analys text linguist order extract use linguist relat syntact variat basi cluster variat relat formalis weight graph cluster algorithm preferenti cluster link seek reduc order produc class class ideal repres research topic corpu result valid expert,Cluster 07
194-391-518-246-985,articl section wide interdisciplinari much broader insid mani tradit littl mutual influenc tradit larg extent defin new technolog reason theoret integr underpin consid import technolog driven tradit manual refer document scientif commun storag retriev comput citat full text hypertext internet tradit taken togeth defin much special focu research import establish fruit theoret frame refer overal suggest import theoret distinct consid social intellectu form social form relat profession train disciplin social group intellectu relat concept theori social perspect addit system genr document social system produc intermediari social system document genr agent make avail complic structur potenti access sap use retriev basic aim research optimis system sap util sap seen sign product use understood social semiot view concept paradigm help group interest tend accord paradigm criteria relev criteria likeli basic unit semant relat concept relat embed theori like thing group togeth consid similar trivial question conclud consid method basic method connect epistemolog theori case exist method describ literatur fit basic epistemolog view debat method deepest level therefor impli epistemolog discuss,Cluster 01
001-759-543-067-376,philosoph essay explor epistemolog foundat discuss implic research defin concept distinguish thought individu mind object independ object establish necess construct key role creation learn dissemin conclud implic scheme map,Cluster 04
002-908-019-710-006,book number take shelf arrang document cannot class number alon abl uniqu indivdiualis document shelv function book number start class number end number bring togeth book specif chronolog book number clearli portray given period book number indispens shelflist nation india kolkata collect million document content use shelf arrang cutter figur tabl indian name use home made tabl describ though nation tabl design especi indian name across religion region cultur use outsid nation report mostli due lack market sinc 1961 indian cultur name undergon mani chang revis updat tabl reflect current cultur new across india,Cluster 07
006-260-890-457-159,result look type text automat deriv shot level move imag audio descript voic ad sound track move pictur visual impair analys hour televis product broadcast mini seri 1997 compar result previou identifi characterist audio descript associ move imag found close correspond among aspect aspect much less correspond reason abl explain addit process conduct current methodolog feel matur method analys audio descript text sourc gener associ move imag,Cluster 00
013-595-252-334-822,mai jen erik 2004 web challeng inquiri abstract discuss challeng face investig web outlin inquir use principl bibliograph construct web suggest web meet challeng call inquiri theoret foundat bibliograph classi ficat theori,Cluster 03
014-498-810-516-367,titl code classifi william stetson merril examin merril code period 27 year 1912 1939 trace examin bibliograph attribut conceptu contextu gener principl advoc variant controversi featur code distinct classifi borrow bibliograph principl authori intent use dewey decim class number classifi sequenc topic discuss reveal import code time complex assess contemporari statu,Cluster 11
019-513-098-708-289,system describ structur flat multidimension main function latter elimin ambigu control synonym equival establish explicit semant relationship hierarch associ relationship relationship properti concept model exampl list file gazett synonym ring taxonomi scheme thesauri ontolog system model underli semant structur domain semant navig translat label definit type relationship properti concept system intend encompass type scheme promot manag scheme gazett lexic databas taxonomi thesauri ontolog hodg 2000 system model underli semant structur domain semant navig translat label definit type relationship properti concept hill 2002 koch tudhop 2004 embodi web servic facilit resourc discoveri retriev act semant road map therebi make possibl common orient futur either human machin koch tudhop 2003 2004,Cluster 07
032-388-474-318-614,critic race theori introduc potenti use evalu bibliograph scheme overview essenti element critic race theori clarif mean import race social justic basi review exist concept antiracist servic rational hypothes critic race theori use role scheme institut right establish dewey decim introduc case challeng face scheme design construct reconstruct race relat categori review analysi sens might suggest recent 2003 revis tabl appear meet challeng wholli success account given sens adopt critic race theoret radic effect call question fundament decis recent taken deraci conclus assess made critic race theori framework evalu scheme,Cluster 03
032-707-667-937-548,give short overview histori use udc internet gateway english interfac 1993 2006 total nine qualiti control function shorter longer period time typolog function describ qualiti evolv role chang accordingli support interfac automat categor resourc toward support semant link control vocabulari map system hub feder period mani ceas exist littl remain avail regard statu current use udc resourc use udc hierarchi interfac role resourc becom difficult observ sinc 2000 udc becom preval east european portal hub outsid scope research attempt record particular applic udc offer consider chang requir come use resourc discoveri,Cluster 11
033-100-558-536-10X,use qualit research method investig attribut factor might affect resourc servic industri find suggest addit document content attribut titl tradit emphas servic industri take disposit situat order scheme attribut addit standard resourc,Cluster 07
037-935-884-055-847,research dynam show tendenc toward reformul previou question new technolog driven interdisciplinari context current research question domin noteworthi interest qualiti relat content record system technic technolog consider integr seem constitut qualiti indic propos respond framework comprehens sector respect divers flip side integr entail conjug technic formal technolog aspect repres word interoper search simplifi harmon great varieti structur format coexist internet address aforement major research concern express last decad literatur structur broad section demand qualiti touch research question relat multilingu cross cultur social group minor ethic integr structur form format respect propos scholar demand manag emerg discuss repres orient organiz domain multidimension multi inter tran disciplinar address togeth respons forth variou research,Cluster 02
038-737-526-962-518,relationship interconnect entiti class import document concept languag bibliograph relationship document document relationship respons relationship conceptu content relationship relationship relev relationship marc format allow record bibliograph relationship mani express systemat conceptu content relationship turn interconcept intraconcept relationship express interconcept relationship cover standard thesaur relationship typic distinguish fulli underli lexic relationship type full express complex intraconcept relationship indic basic natur relationship semant role entiti particip relationship map particip semant role scheme seldom express relationship fulli,Cluster 07
044-198-652-180-16X,taxonomi increasingli discuss publish grey literatur taxonomi still seem state quit loos obscur aim explain clarifi concept taxonomi context salient featur taxonomi identifi scope natur role elabor extens literatur review meantim connect distinct taxonomi scheme thesauri identifi rational taxonomi chosen viabl system use wide websit support brows navig clarifi,Cluster 03
048-970-965-076-466,folksonomi free form tag gener system web content allow tag favorit web resourc chosen word phrase select natur languag tag call concept categori facet entiti use classifi web resourc express prefer folksonomi system allow classifi web resourc tag bookmark photo web resourc save public web site like icio web resourc onlin articl share easi purpos overview folksonomi tag phenomenon call social tag social bookmark explor reason control vocabulari discuss problem associ folksonomi,Cluster 05
050-418-334-813-530,recent experi build mainten reus ontolog shown effici collabor howev commun collabor profession librarian web design matter expert difficult time consum reason strategi logic kind represent applic semant web articl intend refer scheme use concis simpl explan use common specialist background togeth applic semant web,Cluster 01
054-305-338-343-34X,analyz scientif discours research specialti astronomi examin influenc geograph locat use case sloan digit sky survey ject analyz text bibliograph record along geograph axe public public intern collabor geograph region reflect affili research institut region interna tional collabor refer publish institut cluster domain use titl abstract bibliograph record abl automat identifi topolog pic peculiar geograph region identifi research topic common geograph zone result show research share common intern collabor anoth indic former focus rather distinct topic,Cluster 02
056-414-859-740-557,isko name denot alreadi object activ area signific exist area outlin specif content shown survey special subfield given theoret foundat new scientif disciplin proposit concept univers system regard subfield concludingli propos find necessari institut concert effort scientist terminologist collect definit systemat concept util code icc necessari categor structur,Cluster 04
056-709-260-660-68X,survey research literatur discuss variou theori show focu tradit establish scientif foundat research argu shift taken place suggest contemporari research focu contextu guid design construct scheme,Cluster 04
056-843-928-028-56X,import often neglect objectivist strand paul otlet 1868 1944 think linguist objectiv linguist objectiv consist view linguist atom uniqu correspond certain discret defin element world combin linguist atom object captur order world analysi temper past claim influenc positiv otlet,Cluster 04
057-466-204-899-197,thesauru control vocabulari design allow effect retriev consist kind semant relationship aim guid choic suitabl search express certain concept relat semant thesauru deal method connect relat mean intend enhanc recal capabl focus hierarch relat aspect relat semant thesauri among possibl richer structur analyz thesauri view semant tool oper purpos represent mean stress theori semant hold perspect natur mean repres affect design relat semant thesauri tool capabl repres complex semant occur literatur respect advoc underlin contribut improv retriev achiev goal even though preliminari manner explor possibl set framework thesauru design notion languag game hermeneut horizon,Cluster 07
064-607-448-852-803,purpos visual infoviz show graphic purpos often obscur infoviz design understood practic offer overview infoviz cull literatur applic visual digit cluster creat topic topic repres graphic taxonomi infoviz design dimens suggest evalu infoviz design might use enrich infoviz theori whether applic theori applic remark might improv infoviz interfac comprehens design recommend made effort improv weak capit strength interfac repres visual,Cluster 08
066-611-818-335-788,use graphic represent common technolog engin although tool could appli effect area use hardli known complet unheard articl aim discuss result experiment carri graphic represent research analysi problem solv health care sector experiment carri conceptu map petri net collabor onlin cmaptool wope graphic applic distinct profession commun involv research pertain local health unit tuscani commun made head physician health care manag whilst form technic staff depart nutrit food hygien emerg experiment concept map consid effect analyz domain relat problem face descript hand petri net effect formal possibl solut descript reason involv experiment propos complementari rather altern use represent method support profession problem solv,Cluster 07
068-347-597-479-448,detail philosoph system farabi ghazali khaldun primari aim formul underli philosoph basi relat basi certain principl contain islam revel give analyt treatment follow question major distinguish featur attitud thinker toward philosoph religi envisag distinct,Cluster 11
076-882-748-116-316,assign head document mani phrase use repres document contribut phrase locat order document compar contribut full text queri find document length number phrase equal contribut full text queri appropri number phrase determin length phrase suggest sever rule use determin mani head assign given phrase length gener model process characterist hard social literatur suggest,Cluster 00
077-954-762-700-03X,abstract scheme thesauri taxonomi control vocabulari play import role ganiz retriev mani environ design construct control cabulari prescrib technic level great detail past decad methodolog level somewhat neglect howev research recent year focus analysi domain activ could produc requir design control vocabulari research argu design construct use control vocabulari analys understand context control vocabulari function assum grow bodi research human behavior might help guid control vocabulari shed light context unfor tunat much research area descript natur littl use system design discuss trend outlin holist demonstr design control vocabulari tigat peopl interact cognit analysi framework outlin sever dimens human interact applic result comprehens derstand context control vocabulari function use control vocabulari,Cluster 08
078-451-133-512-02X,scholarli commun increasingli employ web public scholarli output locat access relev scholarli literatur vast bodi digit assum signific context sheer volum digit handl make tradit represent strategi ineffect impract therefor worth explor new discuss consid intrins semant text document hypothesi noun phrase text semant rich abil repres content document seek identifi extract noun phrase instead singl keyword use descriptor methodolog extract noun phrase portugues text result experi carri test adequaci methodolog,Cluster 01
082-495-474-227-605,methodolog compil corpu learner glossari design specialist translat languag specif purpos lsp learner bilingu microglossari subsect lsp teach translat purpos emphas introduct concept learner glossari delimit among type terminolog collect specialis dictionari thesauru bank section categori entri specifi keyterm plu translat equival definit keyterm exemplari context narrow synonym definit translat equival special phrase keyterm colloc translat equival exemplari context section describ principl method modern terminographi sourc materi avail glossari compil hybrid extract techniqu describ section use extract candid subsequ manual initi process result section theoret ground methodolog analys conceptu relat terminolog system expert valid automat extract first phase process rational appli lexico semant analysi identifi colloc keyterm section propos involv descript actanti structur keyterm identifi verbal colloc paradigmat syntagmat morpho syntact relat applic keyterm final model structur learner glossari entri propos section,Cluster 07
094-974-208-048-309,attain statu disciplin 1980 enrich input number disciplin rang comput technolog psycholog predomin characterist research retriev recent year adopt center design system shift emphasi began primarili belkin enunci ask anomal state hypothesi research cognit potenti contribut substanti enhanc retriev process emphas import adopt broad cognit research suggest explor relev analytico synthet relat research design system,Cluster 00
096-969-589-679-820,investig whether learner around core concept domain strongli link secondari concept call anchor concept word core concept anchor concept mutual support anoth concept link concept produc extend robust structur memori use flow map method identifi learner core anchor concept deriv treatment instruct thermal physic result show assist core concept profit mediat anchor concept learner could recal extend greater rich higher connect absenc experi howev provis group core concept individu core concept reach signific level recal task month later experi recal task carri month later group anchor concept show essenti assist recal experi potenti insight function mechan learner construct research,Cluster 07
097-759-558-650-313,articl report empir investig practic small busi enterpris south africa purpos investig determin taken account design system busi busi actual electron document investig system use opportun gather busi concept use construct gener scheme purpos small enterpris data gather small busi locat provinc mean person interview owner manag guid questionnair site observ system use result survey show regard critic import small busi give insight current situat regard busi recommend made improv small busi,Cluster 07
098-551-863-329-618,ontolog editor softwar tool allow creation mainten ontolog graphic interfac semant web effort grow larger commun kind tool expect new peopl specif skill use ontolog formal consequ usabl ontolog editor view key adopt precondit semant web technolog usabl evalu sever repres ontolog editor describ evalu carri combin heurist assess subsequ test phase target popul compris peopl specif ontolog creation skill gener domain model kind current editor adequ creation mainten simpl ontolog room improv especi brows mechan help system visual metaphor,Cluster 07
100-935-111-075-54X,activ document descript perform databas archiv activ done librarian archivist specialist comput algorithm concern natur qualiti process system use document document represent concept exist histor theoret theori relat view cognit languag social tend answer question profession often concentr appli new technolog standard seen involv interpret analysi mean critic lack substant intellectu content tradit human activ increasingli challeng comput retriev techniqu appropri investig rel contribut current challeng make imper reconsid understand offer understand explicit theori,Cluster 08
106-258-436-803-499,purpos scope usag methodolog cross map encod ontolog summar snapshot current research avail tool ontolog queri engin applic benefit problem cost discuss feasibl use ontolog weigh respect potenti current digit arena conclud ontolog applic potenti huge impact manag enterpris integr commerc possibl educ outsid heavili fund domain feasibl depend assess variou evolv factor current tool system level adopt time expertis avail cost barrier,Cluster 07
108-951-652-767-38X,citat chase propos method discov addit enhanc search retriev broaden priorit result attach record repres cite compar attach record repres origin cite sourc yield chase see refer latter group head origin cite sourc yield via list search catalog use head languag languag origin search employ avoid choos sourc refer sourc search applic head retriev rank first number citat origin sourc total citat frequenc result tier group bradford like distribut similar rank divis perform repres origin cite sourc yield chase see refer frequenc topic type posit comparison citat chase see refer show confirm method yield altern exclus result suggest potenti mutual complementari valu among method,Cluster 00
115-406-999-927-24X,taxonomi becom increasingli import tool compani effect manag particularli busi consult environ consid main asset key product describ case taxonomi system region busi consult compani taxonomi consist main categori approxim built exist structur consult select compani prototyp conveni utilis adapt compani effort taxonomi system,Cluster 11
127-482-211-718-005,research benefit period consider statu long perspect number basic question remain address turi identifi synthet discuss principl extend broader scope hypertext multimedia museum object monument basic ontolog epistemolog reconcil ontolog foundat identifi disciplin continu structur viewpoint warrant respect adapt local collect deal chang system repres dimens list softwar format improv better serv profession reader,Cluster 04
129-518-699-808-841,ontolog philosoph mean disciplin investig structur realiti find relev model turn offer relev ontolog suggest sever philosoph time realiti structur seri integr level like physic biolog mental cultur level play emerg complex level detail theori level nicolai hartmann jame feibleman consid sourc structur principl bibliograph research group ingetraut dahlberg analysi level possibl applic new gener scheme phenomena instead disciplin formul derek austin 1969 examin detail benefit open problem appli integr level bibliograph,Cluster 07
139-415-373-727-671,new represent appli framework electron segment comprehens new materi support review total conceptualis terminolog appli entail review tradit documentari practic therefor definit concept represent indispens represent use western cultur intellectu tradit refer divers comprehend object represent process requir structur natur languag human memori wherebi interwoven conscienc howev time represent appli process electron combin aim emul human mind endeavour transfer great difficulti complex structur conceptu represent human new digit technolog nowaday represent taken divers mean focuss moment certain structur conceptu hierarchi carri transfer initi current represent use artifici intellig tradit languag document refer languag represent offer structur represent conceptu symbol natur notat languag pillar necessari correspond object text represent correspond connect symbolis establish electron framework mean model goal domain give rise organis structur map network level new electron document compact unit segment new represent refer data imag figur symbolis treat process structur idea replac refer document framework technic process recuper electron,Cluster 07
141-208-622-576-887,articl propos gener scheme purpos electron document busi enterpris smme sector data gather literatur busi competit intellig system empir practic sampl small busi provinc south africa concept gather folder system document email internet favourit augment concept deriv literatur analyz use techniqu facet analysi busi process featur promin result scheme,Cluster 07
146-114-322-954-991,literatur manag continu flourish address issu common becom difficult delin boundari disciplin explor relationship environ manag system must oper clear much function subsum head manag requir strong foundat support understand disciplin area inquiri essenti success implement manag system wide fruit research direct becom appar manag research,Cluster 04
158-139-147-446-223,exchang individu firm across even divis occur automat szulanski 1996 obviou peopl exchang idea anoth toward use give feedback even absenc motiv cooper manner howev firm competit advantag close relat innov capac larg use alreadi avail question aris flow firm done stimul direct flow firm,Cluster 04
164-643-190-599-559,sever system fiction propos date experi show partial depend cultur literari educ specif countri slovenian public tradit use udc bell lettr research shown prefer richer therefor attempt made enhanc udc ad help librarian newli propos altern model system contain list verbal alpha numer denot basic group bell lettr book materi main genr lyric drama epic categor criteria languag origin literari literatur belong genr genr half categor access content literari origin period literari histori centuri literari written rhythm languag list avail idea altern model system show possibl make bell lettr help effici exact,Cluster 07
171-003-626-863-17X,although research theoriz critic import seem given alphabet retriev tool wide use research util like arrang seek scant better understand whether searcher consid classificatori structur viabl altern retriev articl report student use yahoo directori popular search servic resembl complet assign simpl task sever issu emerg student report search process comparison hierarch navig keyword search citat order facet precis recal factor influenc searcher success prefer latter search expertis disciplin time requir complet search without definit conclus suggest number direct research,Cluster 04
173-631-094-662-915,current assess statu metadata creation map catalog defin name dublin core metadata element across digit imag collect metadata element evinc frequent inaccur inconsist incomplet metadata applic identifi frequent occur local ad metadata element associ pattern examin randomli collect sampl metadata item record digit imag collect analyz implic issu drawn evalu current statu metadata creation map discuss relat issu semant interoper concept represent across digit imag collect find suggest conceptu ambigu semant overlap inher among metadata element hinder semant interoper metadata scheme refin order disambigu semant relat certain metadata element semant overlap conceptu ambigu element name correspond definit find suggest mediat mechan concept network facilit metadata creation map process critic enhanc metadata qualiti,Cluster 08
174-044-959-189-259,first focus review literatur network recent analysi analyz connot extens notion network forward research bring forward notion alongsid aspect final discuss analysi charact network,Cluster 03
174-766-280-588-960,analyz north american industri system naic handl categor open sourc softwar product foreground theoret polit aspect naic industri scheme use govern canada mexico unit state carri respect econom census naic consid ration system use underli econom principl similar product process basi class sector economi formul naic key product process acquisit defens copyright open sourc copyleft licens elimin copyright acquisit protect major product process suggest open sourc softwar industri warrant separ naic categori importantli analysi suggest naic cannot understood taxonomi object econom activ instead polit histor conting system data,Cluster 10
176-358-336-937-825,theoret framework help build maintain evalu network resourc specif theoret framework make sens semant prowess ontolog peer peer system extens aid build mainten evalu posit theoret wed formal associ structur interpret aspect system framework lay intellectu construct serv foundat investig experientialist theori theoret framework embodi infrastructur reifi build interpret scholar cognit semant sociolog framework place outlin theori critiqu classificatori structur order address critiqu experientialist experientialist semant offer design commit exampl metadata peer peer network structur,Cluster 06
190-805-304-109-100,philosoph propos pragmat doctrin peirc basic analyt framework domain theoret framework discuss relat qualit branch theori scope hjorland domain analyt view hjorland albrechtsen 1995 hjorland 2002 hjorland 2004 promot gener framework analyz domain concept howev concept view least perspect defin activ perform human actor specialist secondli view perspect inher self structur domain latter investig,Cluster 04
001-254-322-670-872,articl identifi distinct section public sphere academ relev uniqu swedish system system use public use analys social discurs influenc reject common system public sweden analys debat took place 1910 variou public identifi theoret practic reason reject refer made situat norway denmark time attempt influenc sweden accept done countri conclus drawn reason reject sought theoret even practic problem regard system academ sector system could creat last influenc organis public order uphold nation ident swedish system,Cluster 01
001-542-585-753-06X,articl describ process construct thesauru origin histor document locat archivo reino valencia import histor archiv spain examin preced discuss methodolog use applic aim project visibl contain histor document otherwis remain inaccess clearest rigor use possibl special gener public use technolog manag tool common archiv especi histor archiv document area pilot project therefor creat intranet support manag specif histor archiv contain document date 13 centuri import project explor viabil construct thesauru becom autom program archiv descript check,Cluster 08
002-733-369-145-420,jung ran park assist professor colleg technolog drexel univers prior join drexel univers catalog indiana state univers receiv linguist mli univers hawaii appli linguist background primari research area represent comput mediat commun cross lingual access park current princip investig grant project metadata creation metadata qualiti control across digit collect evalu current practic institut museum servic,Cluster 01
005-477-590-821-001,employ function requir bibliograph record conceptu model depth investig characterist social tag analyz bibliograph attribut tag limit properti describ level entiti express manifest item distinguish understand entiti bibliograph univers research sinc scope data analysi focus tag assign web document consider manifest item exclud accordingli attribut express entiti investig order map attribut tag attribut defin entiti content analysi tag attribut conduct total 113 web document regard attribut categori defin find identifi essenti bibliograph attribut tag tag behavior find show concern specif area tagger exhibit tag behavior repres distinct featur tendenc result conclus increas awar divers practic implic metadata gener,Cluster 11
016-780-208-466-573,describ tension theoret literatur chief sourc evid process rubric method philosoph posit scholarship follow exposit argu chang perspect research use prescript descript linguist metaphor advoc shift descript rather customari prescript theoret empir extens,Cluster 10
026-156-970-219-041,articl argu authori stanc taken account scientif document authori stanc wide linguist typic featur scientif write reveal uniqu perspect scientif contribut think argu authori stanc guid read scientif document use character contain document research previous shown peopl read dissert interest topic document authori stanc like propos tier system dissert first divid paragraph unit defin topic marker authori stanc document,Cluster 01
028-844-316-983-354,universidad feder parana dept informat sci manag informat manag curitiba parana brazil,Cluster 09
028-990-627-361-144,explor ethic outlin recent conceptu move search show contemporari theori pragmat understand world suggest unjust state ment assumpt world challeng contemporari proper respons outlin framework ethic macintyr practic ethic theori framework editor manag make ethic sound decis,Cluster 05
